card_id	german	target_gloss	status	matched_form	expected_pos	example_german	example_english	tatoeba_attribution
x10135	reisen	to travel	sourced	reisen	AUX,VERB	Ich möchte rund um die Welt reisen.	I’d like to travel around the world.	CC-BY 2.0 (France) Attribution: tatoeba.org #258950 (CK) & #2036081 (Espi)
x10136	fliegen	to fly	sourced	fliegen	AUX,VERB	Die Vögel fliegen in den Süden.	The birds are flying south.	CC-BY 2.0 (France) Attribution: tatoeba.org #2649826 (sharptoothed) & #1004799 (MUIRIEL)
x10137	mieten	to rent	sourced	mieten	AUX,VERB	Ich möchte auch gerne einen Wagen mieten.	I would also like to rent a car.	CC-BY 2.0 (France) Attribution: tatoeba.org #29479 (CK) & #1547095 (Pfirsichbaeumchen)
x10138	umziehen	to move house	sourced	umziehen	AUX,VERB	Ich werde nächsten Monat umziehen.	I’m going to move next month.	CC-BY 2.0 (France) Attribution: tatoeba.org #4391132 (CK) & #620287 (kolonjano)
x10139	reparieren	to repair	sourced	reparieren	AUX,VERB	Ich habe ihn meine Uhr reparieren lassen.	I had him repair my watch.	CC-BY 2.0 (France) Attribution: tatoeba.org #1300111 (CK) & #425609 (MUIRIEL)
x10140	putzen	to clean	sourced	putzen	AUX,VERB	Du musst dir mal die Brille putzen.	You should clean your glasses.	CC-BY 2.0 (France) Attribution: tatoeba.org #4133523 (CK) & #5090453 (Pfirsichbaeumchen)
x10141	waschen	to wash	sourced	waschen	AUX,VERB	Ich muss mir erst die Haare waschen.	I need to wash my hair first.	CC-BY 2.0 (France) Attribution: tatoeba.org #11359132 (sundown) & #5164983 (Pfirsichbaeumchen)
x10142	einkaufen	to shop	sourced	einkaufen	AUX,VERB	Ich habe keine Lust, einkaufen zu gehen.	I don’t feel like going shopping.	CC-BY 2.0 (France) Attribution: tatoeba.org #9645286 (DJ_Saidez) & #7782024 (brauchinet)
x10143	verkaufen	to sell	sourced	verkaufen	AUX,VERB	Ich wäre bereit, dir das zu verkaufen.	I’d be willing to sell this to you.	CC-BY 2.0 (France) Attribution: tatoeba.org #9824780 (CK) & #12585035 (Waldelfe)
x10144	umtauschen	to exchange	sourced	umtauschen	AUX,VERB	Wo kann man Dollar in Pfund umtauschen?	Where can dollars be exchanged for pounds?	CC-BY 2.0 (France) Attribution: tatoeba.org #38191 (fcbond) & #346961 (lilygilder)
x10145	passen	to fit / suit	sourced	passen	AUX,VERB	Das wird nicht in meinen Koffer passen.	That won’t fit in my suitcase.	CC-BY 2.0 (France) Attribution: tatoeba.org #9219413 (CK) & #10033512 (Melang)
x10146	sparen	to save	sourced	sparen	AUX,VERB	Ich hatte gehofft, mehr Geld zu sparen.	I had hoped to save more money.	CC-BY 2.0 (France) Attribution: tatoeba.org #30511 (CK) & #569540 (Espi)
x10147	verdienen	to earn	sourced	verdienen	AUX,VERB	Ich muss mir selbst mein Brot verdienen.	I’ve got to earn my own living.	CC-BY 2.0 (France) Attribution: tatoeba.org #258306 (CK) & #676014 (Manfredo)
x10148	zahlen	to pay	sourced	zahlen	AUX,VERB	Er verließ das Restaurant, ohne zu zahlen.	He left the restaurant without paying.	CC-BY 2.0 (France) Attribution: tatoeba.org #289477 (CK) & #969155 (Sudajaengi)
x10149	überweisen	to transfer money	sourced	überweisen	AUX,VERB	Auf welches Konto soll ich das Geld überweisen?	Which account should I transfer the money to?	CC-BY 2.0 (France) Attribution: tatoeba.org #11268015 (ddnktr) & #11270176 (Pfirsichbaeumchen)
x10150	anrufen	to call	sourced	anrufen	AUX,VERB	Er weiß, dass ich dich anrufen werde.	He knows I’ll call you.	CC-BY 2.0 (France) Attribution: tatoeba.org #1335859 (Shishir) & #9981588 (wolfgangth)
x10151	telefonieren	to phone	sourced	telefonieren	AUX,VERB	Es ist gefährlich, gleichzeitig zu telefonieren und zu fahren.	It’s dangerous to talk on the phone and drive at the same time.	CC-BY 2.0 (France) Attribution: tatoeba.org #580783 (CM) & #138816 (MUIRIEL)
x10152	warten	to wait	sourced	warten	AUX,VERB	Wir warten dann im Park auf euch.	We’ll be waiting for you in the park.	CC-BY 2.0 (France) Attribution: tatoeba.org #9648171 (CK) & #12287811 (Pfirsichbaeumchen)
x10153	suchen	to search	sourced	suchen	AUX,VERB	Sie hatten keine Zeit es zu suchen.	They did not have time to search for it.	CC-BY 2.0 (France) Attribution: tatoeba.org #802429 (Source_VOA) & #3982588 (Djabby)
x10154	finden	to find	sourced	finden	AUX,VERB	Ich ging raus, um Essen zu finden.	I went out to find food.	CC-BY 2.0 (France) Attribution: tatoeba.org #2546143 (CK) & #6611518 (Felixjp)
x10155	verlieren	to lose	sourced	verlieren	AUX,VERB	Ich fange an, die Geduld zu verlieren.	I’m beginning to lose patience.	CC-BY 2.0 (France) Attribution: tatoeba.org #2541923 (CK) & #3555026 (Pfirsichbaeumchen)
x10156	gewinnen	to win	sourced	gewinnen	AUX,VERB	Du hast eine gute Chance zu gewinnen.	You have a good chance of winning.	CC-BY 2.0 (France) Attribution: tatoeba.org #5909969 (CK) & #11877502 (Naina)
x10157	üben	to practise	sourced	üben	AUX,VERB	Es ist wichtig, jeden Tag zu üben.	It’s important that you practice every day.	CC-BY 2.0 (France) Attribution: tatoeba.org #5414033 (Hybrid) & #6975945 (Pfirsichbaeumchen)
x10158	studieren	to study	sourced	studieren	AUX,VERB	Ich habe gehört, dass Sie hier studieren.	I understand you’re a student here.	CC-BY 2.0 (France) Attribution: tatoeba.org #10276710 (CK) & #12555439 (Waldelfe)
x10159	prüfen	to check / examine	sourced	prüfen	AUX,VERB	Entschuldigen Sie! Prüfen Sie bitte den Ölstand!	Excuse me, please check the oil.	CC-BY 2.0 (France) Attribution: tatoeba.org #1556838 (brymck) & #2238053 (Pfirsichbaeumchen)
x10160	bestehen	to pass / consist	sourced	bestehen	AUX,VERB	Sein Ziel ist, den Test zu bestehen.	His object is to pass the test.	CC-BY 2.0 (France) Attribution: tatoeba.org #287691 (Masa) & #1021198 (Espi)
x10161	arbeiten an	to work on	sourced	arbeiten	AUX,VERB	Ich sollte lieber an meiner Diplomarbeit arbeiten.	I’d better work on my dissertation.	CC-BY 2.0 (France) Attribution: tatoeba.org #10773672 (sundown) & #341725 (MUIRIEL)
x10162	sich bewerben	to apply	sourced	bewerben	AUX,VERB	Ich finde, Sie sollten sich bewerben.	I think you should apply.	CC-BY 2.0 (France) Attribution: tatoeba.org #9203623 (CK) & #12640011 (Waldelfe)
x10163	kündigen	to resign / cancel	sourced	kündigen	AUX,VERB	Ich muss mein Abo kündigen.	I need to cancel my subscription.	CC-BY 2.0 (France) Attribution: tatoeba.org #436889 (lukaszpp) & #3927909 (Pfirsichbaeumchen)
x10164	sich interessieren	to be interested	sourced	interessieren	AUX,VERB	Er scheint sich für sie zu interessieren.	He seems interested in her.	CC-BY 2.0 (France) Attribution: tatoeba.org #1911925 (Spamster) & #1918735 (Pfirsichbaeumchen)
x10165	sich freuen	to be pleased / look forward	sourced	freue	AUX,VERB	Ich freue mich nicht auf den Abend.	I’m not looking forward to the evening.	CC-BY 2.0 (France) Attribution: tatoeba.org #7294069 (Hybrid) & #7295212 (raggione)
x10166	sich fühlen	to feel	sourced	fühlen	AUX,VERB	Ich weiß genau, wie Sie sich fühlen.	I know exactly what you’re feeling.	CC-BY 2.0 (France) Attribution: tatoeba.org #3733809 (CK) & #5243276 (Pfirsichbaeumchen)
x10167	sich treffen	to meet up	sourced	treffen	AUX,VERB	Wann und wo wollen Sie sich treffen?	When and where do you want to meet?	CC-BY 2.0 (France) Attribution: tatoeba.org #9058467 (CK) & #12543878 (Waldelfe)
x10168	sich beeilen	to hurry	sourced	beeilen	AUX,VERB	Sag den anderen, sie sollen sich beeilen!	Tell the others to hurry up.	CC-BY 2.0 (France) Attribution: tatoeba.org #1860541 (CK) & #3992456 (pne)
x10169	sich ausruhen	to rest	sourced	ausruhen	AUX,VERB	Nach dem Training sollte man sich ausruhen.	You should rest after exercise.	CC-BY 2.0 (France) Attribution: tatoeba.org #26557 (CK) & #818975 (Zaghawa)
x10170	weh tun	to hurt	sourced	tun	AUX,VERB	Niemand wird dir je wieder weh tun.	Nobody will ever hurt you again.	CC-BY 2.0 (France) Attribution: tatoeba.org #12066934 (CK) & #12737167 (Waldelfe)
x10171	husten	to cough	sourced	husten	AUX,VERB	Ich kann nicht aufhören zu husten.	I can’t stop coughing.	CC-BY 2.0 (France) Attribution: tatoeba.org #51341 (CK) & #2673599 (Pfirsichbaeumchen)
x10172	untersuchen	to examine	sourced	untersuchen	AUX,VERB	Ich möchte Sie morgen noch einmal untersuchen.	I want to examine you again tomorrow.	CC-BY 2.0 (France) Attribution: tatoeba.org #9853882 (NurseMeeks) & #10111697 (driini)
x10173	verschreiben	to prescribe	sourced	verschreiben	AUX,VERB	Ich werde Ihnen Antibiotika verschreiben.	I’m going to prescribe you some antibiotics.	CC-BY 2.0 (France) Attribution: tatoeba.org #11586411 (CK) & #13003527 (Waldelfe)
x10174	besser	better	sourced	besser	ADJ,ADV,VERB	Er wird von Tag zu Tag besser.	He is getting better day by day.	CC-BY 2.0 (France) Attribution: tatoeba.org #302195 (CK) & #7712387 (wolfgangth)
x10175	schlimmer	worse	sourced	schlimmer	ADJ,ADV	Komm, wir gehen, ehe es schlimmer wird.	Let’s go before things get worse.	CC-BY 2.0 (France) Attribution: tatoeba.org #2007323 (CK) & #4430964 (raggione)
x10176	billig	cheap	sourced	billig	ADJ,ADV	Es ist sowohl gut als auch billig.	It is both good and cheap.	CC-BY 2.0 (France) Attribution: tatoeba.org #42127 (CK) & #2104724 (Tamy)
x10177	teuer	expensive	sourced	teuer	ADJ,ADV	Es ist egal, wie teuer es ist.	It doesn’t matter how expensive it is.	CC-BY 2.0 (France) Attribution: tatoeba.org #10479515 (CK) & #13354093 (Waldelfe)
x10178	bequem	comfortable	sourced	bequem	ADJ,ADV	Der Stuhl da sieht bequem aus.	That chair looks comfortable.	CC-BY 2.0 (France) Attribution: tatoeba.org #11062312 (CK) & #11067865 (Pfirsichbaeumchen)
x10179	unbequem	uncomfortable	sourced	unbequem	ADJ,ADV	Diese neuen Schuhe sind unbequem.	I’m uncomfortable in these new shoes.	CC-BY 2.0 (France) Attribution: tatoeba.org #10148383 (CK) & #1586092 (Zaghawa)
x10180	freundlich	friendly	sourced	freundlich	ADJ,ADV	Du musst freundlich zu deinen Nachbarn sein.	You must be friendly with your neighbors.	CC-BY 2.0 (France) Attribution: tatoeba.org #18667 (CK) & #1694880 (Pfirsichbaeumchen)
x10181	unfreundlich	unfriendly	sourced	unfreundlich	ADJ,ADV	Sei nicht unfreundlich zu deinen Freunden.	Don’t be unkind to your friends.	CC-BY 2.0 (France) Attribution: tatoeba.org #324407 (CK) & #12689381 (mayabe)
x10182	pünktlich	punctual	sourced	pünktlich	ADJ,ADV	Ich rate dir, pünktlich zu sein.	I advise you to be punctual.	CC-BY 2.0 (France) Attribution: tatoeba.org #257084 (CK) & #2259998 (Zaghawa)
x10183	ungefähr	approximately	sourced	ungefähr	ADJ,ADV	Die Brücke ist ungefähr eine Meile lang.	The bridge is approximately a mile long.	CC-BY 2.0 (France) Attribution: tatoeba.org #48670 (CK) & #783887 (Manfredo)
x10184	plötzlich	suddenly	sourced	plötzlich	ADJ,ADV	Plötzlich trat ein Mann vor sie hin.	Suddenly, a man stepped in front of them.	CC-BY 2.0 (France) Attribution: tatoeba.org #807422 (Source_VOA) & #3670167 (Pfirsichbaeumchen)
x10185	zuerst	first	sourced	zuerst	ADV	Zuerst will ich wissen, was es ist.	I want to know what it is first.	CC-BY 2.0 (France) Attribution: tatoeba.org #2014699 (CK) & #2258501 (Zaghawa)
x10186	dann	then	sourced	dann	ADV	Wenn du dich irrst, dann ich auch.	If you’re wrong, then so am I.	CC-BY 2.0 (France) Attribution: tatoeba.org #7810478 (CK) & #1431807 (Esperantostern)
x10187	danach	after that	sourced	danach	ADV	Danach war nichts mehr, wie es war.	Things were never the same after that.	CC-BY 2.0 (France) Attribution: tatoeba.org #3539230 (Hybrid) & #3539452 (Pfirsichbaeumchen)
x10188	zuletzt	last / finally	sourced	zuletzt	ADV	Ich sah ihn zuletzt vor zwei Jahren.	It’s been two years since I saw him last.	CC-BY 2.0 (France) Attribution: tatoeba.org #58052 (CK) & #2768971 (Tamy)
x10189	schon	already	sourced	schon	ADV,VERB	Du weißt schon, was zu tun ist.	You already know what to do.	CC-BY 2.0 (France) Attribution: tatoeba.org #3921473 (CK) & #10056734 (wolfgangth)
x10190	noch	still / yet	sourced	noch	ADJ,ADV	Ich habe noch so viel zu tun.	I still have so much to do.	CC-BY 2.0 (France) Attribution: tatoeba.org #5664730 (marcj794) & #955991 (MUIRIEL)
x10191	wieder	again	sourced	wieder	ADV	Tun Sie mir das nie wieder an!	Don’t ever do that to me again.	CC-BY 2.0 (France) Attribution: tatoeba.org #5488269 (Hybrid) & #8273126 (Pfirsichbaeumchen)
x10192	meistens	mostly	sourced	meistens	ADV	Am Sonntag spielt Vater meistens Golf.	Father mostly plays golf on Sunday.	CC-BY 2.0 (France) Attribution: tatoeba.org #319009 (CM) & #696613 (Manfredo)
x10193	selten	rarely	sourced	selten	ADJ,ADV	Ich gehe selten zu Fuß zur Arbeit.	I rarely walk to work.	CC-BY 2.0 (France) Attribution: tatoeba.org #5160393 (CK) & #5160451 (brauchinet)
x10194	vielleicht	perhaps	sourced	vielleicht	ADV	Vielleicht machst du dir zu viel Mühe.	Perhaps you’re trying too hard.	CC-BY 2.0 (France) Attribution: tatoeba.org #3477800 (CK) & #6455244 (raggione)
x10195	natürlich	of course / naturally	sourced	natürlich	ADJ,ADV	Benehmt euch so natürlich, wie es geht!	Act as naturally as possible.	CC-BY 2.0 (France) Attribution: tatoeba.org #12201480 (sundown) & #12204164 (Pfirsichbaeumchen)
x10196	leider	unfortunately	sourced	leider	ADV	Es ist leider zu einem Fehler gekommen.	Unfortunately, an error has occurred.	CC-BY 2.0 (France) Attribution: tatoeba.org #3058225 (Hybrid) & #3058242 (Pfirsichbaeumchen)
x10197	eigentlich	actually	sourced	eigentlich	ADJ,ADV	Es ist eigentlich gar nicht so schwer.	It’s actually not that difficult.	CC-BY 2.0 (France) Attribution: tatoeba.org #1975727 (CK) & #9670824 (Yorwba)
x10198	unterwegs	on the way	sourced	unterwegs	ADV	Wir haben unterwegs eine kleine Rast eingelegt.	We took a short rest on the way.	CC-BY 2.0 (France) Attribution: tatoeba.org #279419 (CK) & #1545078 (Pfirsichbaeumchen)
x10199	draußen	outside	sourced	draussen	ADV	Ich mag es nicht, draußen zu sein.	I don’t like being outside.	CC-BY 2.0 (France) Attribution: tatoeba.org #6665917 (CK) & #11887930 (Naina)
x10200	drinnen	inside	sourced	drinnen	ADV	Wir haben unseren Hund drinnen schlafen lassen.	We let our dog sleep inside.	CC-BY 2.0 (France) Attribution: tatoeba.org #10032689 (CK) & #10033082 (Pfirsichbaeumchen)
x10201	oben	upstairs / above	sourced	oben	ADV	Ich will, dass du nach oben gehst.	I want you to go upstairs.	CC-BY 2.0 (France) Attribution: tatoeba.org #2012481 (CK) & #2737945 (Zaghawa)
x10202	unten	downstairs / below	sourced	unten	ADV	Du hast hier unten nichts zu suchen!	You can’t be down here.	CC-BY 2.0 (France) Attribution: tatoeba.org #3723182 (CM) & #12088400 (Pfirsichbaeumchen)
x10203	gegenüber	opposite	sourced	gegenüber	ADP,ADV	Sie wohnen im Haus gegenüber von uns.	They live in the house opposite to ours.	CC-BY 2.0 (France) Attribution: tatoeba.org #68158 (CK) & #925550 (Sudajaengi)
x10204	zwischen	between	sourced	zwischen	ADP	Du musst zwischen Ehre und Tod wählen.	You have to choose between honor and death.	CC-BY 2.0 (France) Attribution: tatoeba.org #1510797 (Eldad) & #4764837 (Esperantostern)
x10205	neben	next to	sourced	neben	ADP	Warte auf mich neben dem Baum da.	Wait for me next to that tree.	CC-BY 2.0 (France) Attribution: tatoeba.org #1583725 (fanty) & #11163846 (Oldman)
x10206	hinter	behind	sourced	hinter	ADP,ADV	Mach bitte die Tür hinter dir zu.	Please close the door behind you.	CC-BY 2.0 (France) Attribution: tatoeba.org #70688 (CK) & #917360 (Sudajaengi)
x10207	vor	in front of / before	sourced	vor	ADP	Das Auto hielt vor der Bank an.	The car pulled up in front of the bank.	CC-BY 2.0 (France) Attribution: tatoeba.org #46833 (CM) & #1865481 (Zaghawa)
x10208	während	during / while	sourced	während	ADP,CCONJ,SCONJ,VERB	Ich lerne oft, während ich Musik höre.	I often study while listening to music.	CC-BY 2.0 (France) Attribution: tatoeba.org #256339 (CK) & #236458 (MUIRIEL)
x10209	seit	since	sourced	seit	ADP,CCONJ	Ich reite, seit ich ein Kind bin.	I’ve been riding horses since I was a kid.	CC-BY 2.0 (France) Attribution: tatoeba.org #8893960 (CK) & #8898254 (mramosch)
x10210	bis	until	sourced	bis	ADP,CCONJ	Bis halb drei bin ich im Büro.	I’ll be in my office until 2:30.	CC-BY 2.0 (France) Attribution: tatoeba.org #7977819 (CK) & #7978447 (Pfirsichbaeumchen)
x10211	obwohl	although	sourced	obwohl	CCONJ	Obwohl die Sonne schien, war es kalt.	Although the sun was out, it was cold.	CC-BY 2.0 (France) Attribution: tatoeba.org #680172 (Source_VOA) & #1269360 (BraveSentry)
x10212	dass	that	sourced	dass	CCONJ	Er gab zu, dass es wahr war.	He admitted that it was true.	CC-BY 2.0 (France) Attribution: tatoeba.org #291445 (CK) & #7328398 (Yorwba)
x10213	wenn	if / when	sourced	wenn	CCONJ,SCONJ	Er mag es, wenn ich das tue.	He likes it when I do that.	CC-BY 2.0 (France) Attribution: tatoeba.org #1977681 (Spamster) & #1977806 (Pfirsichbaeumchen)
x10214	deshalb	therefore	sourced	deshalb	ADV	Deshalb waren wir da.	That’s why we were there.	CC-BY 2.0 (France) Attribution: tatoeba.org #3819991 (CK) & #8378776 (Luiaard)
x10215	trotzdem	nevertheless	sourced	trotzdem	ADV,CCONJ	Ich war todmüde, konnte aber trotzdem nicht einschlafen.	I was very tired, but I was nevertheless unable to sleep.	CC-BY 2.0 (France) Attribution: tatoeba.org #261396 (CM) & #907791 (Sudajaengi)
x10216	anders	different / otherwise	sourced	anders	ADV	Schön wär’s, wenn ich anders wäre.	I wish I were different.	CC-BY 2.0 (France) Attribution: tatoeba.org #4902910 (al_ex_an_der) & #5921733 (raggione)
x10217	gleich	same / immediately	sourced	gleich	ADJ,ADV	Er und ich sind fast gleich groß.	He and I are almost the same height.	CC-BY 2.0 (France) Attribution: tatoeba.org #1239929 (CK) & #1360215 (Pfirsichbaeumchen)
x10218	ähnlich	similar	sourced	ähnlich	ADJ,ADV	Dein Fahrrad ist so ähnlich wie meins.	Your bicycle is similar to mine.	CC-BY 2.0 (France) Attribution: tatoeba.org #17101 (CK) & #1984603 (Zaghawa)
x10219	möglich	possible	sourced	möglich	ADJ,ADV	Ich sage nur, dass es möglich ist.	I’m just saying it’s possible.	CC-BY 2.0 (France) Attribution: tatoeba.org #2542414 (CK) & #8931568 (tarob)
x10220	unmöglich	impossible	sourced	unmöglich	ADJ,ADV	Es ist mir unmöglich, dir zu helfen.	It is impossible for me to help you.	CC-BY 2.0 (France) Attribution: tatoeba.org #758118 (LaraCroft) & #1640587 (Pfirsichbaeumchen)
x10221	nötig	necessary	sourced	nötig	ADJ,ADV	Ich habe nur getan, was nötig war.	I only did what was necessary.	CC-BY 2.0 (France) Attribution: tatoeba.org #1956031 (CK) & #1956679 (Pfirsichbaeumchen)
x10222	einfach	simple	sourced	einfach	ADJ,ADV	Wenn es doch nur so einfach wäre.	If only it were that simple.	CC-BY 2.0 (France) Attribution: tatoeba.org #7204648 (Hybrid) & #2207583 (freddy1)
x10223	schwierig	difficult	sourced	schwierig	ADJ,ADV	Es ist schwierig, mit ihm zu reden.	It is difficult to talk to him.	CC-BY 2.0 (France) Attribution: tatoeba.org #1152163 (belgavox) & #1724122 (Pfirsichbaeumchen)
x10224	interessant	interesting	sourced	interessant	ADJ,ADV	Er sagte mir, das Buch sei interessant.	He told me that the book was interesting.	CC-BY 2.0 (France) Attribution: tatoeba.org #297507 (CK) & #643522 (Pfirsichbaeumchen)
x10225	langweilig	boring	sourced	langweilig	ADJ,ADV	Ich hoffe, es war nicht zu langweilig.	I hope it wasn’t too boring.	CC-BY 2.0 (France) Attribution: tatoeba.org #2360864 (CK) & #3062546 (al_ex_an_der)
x10226	zufrieden	satisfied	sourced	zufrieden	ADJ,ADV	Er war ganz und gar nicht zufrieden.	He was not at all satisfied.	CC-BY 2.0 (France) Attribution: tatoeba.org #292916 (CK) & #722074 (al_ex_an_der)
x10227	unzufrieden	dissatisfied	sourced	unzufriedene	ADJ,ADV	Unzufriedene Kunden stimmen mit den Füßen ab.	Dissatisfied customers vote with their feet.	CC-BY 2.0 (France) Attribution: tatoeba.org #11205444 (sundown) & #10908489 (toivo)
x10228	nervös	nervous	sourced	nervös	ADJ,ADV	Ich war zu nervös, um zu essen.	I was too nervous to eat.	CC-BY 2.0 (France) Attribution: tatoeba.org #11759974 (CK) & #12445927 (Waldelfe)
x10229	ruhig	calm / quiet	sourced	ruhig	ADJ,ADV	Nach dem Sturm war die See ruhig.	After the storm, the sea was calm.	CC-BY 2.0 (France) Attribution: tatoeba.org #325290 (CK) & #3856170 (raggione)
x10230	überrascht	surprised	sourced	überrascht	ADJ,ADV,VERB	Ich war überrascht, als ich das sah.	I was surprised when I saw that.	CC-BY 2.0 (France) Attribution: tatoeba.org #6349564 (CK) & #7415080 (Pfirsichbaeumchen)
x10231	verheiratet	married	sourced	verheiratet	ADJ,ADV,VERB	Ich frage mich, ob er verheiratet ist.	I wonder if he is married.	CC-BY 2.0 (France) Attribution: tatoeba.org #295889 (sacredceltic) & #416863 (xtofu80)
x10232	ledig	single	sourced	ledig	ADJ,ADV	Sie blieb ihr ganzes Leben lang ledig.	She remained single all her life.	CC-BY 2.0 (France) Attribution: tatoeba.org #312585 (CK) & #947300 (Sudajaengi)
x10233	beruflich	professional / work-related	sourced	beruflich	ADJ,ADV	Ich reise oft beruflich nach Australien.	I often go to Australia on business.	CC-BY 2.0 (France) Attribution: tatoeba.org #7164050 (CK) & #8691625 (Luiaard)
x10234	privat	private	sourced	privat	ADJ,ADV	Ich möchte Sie lieber privat sprechen.	I’d prefer to speak to you in private.	CC-BY 2.0 (France) Attribution: tatoeba.org #5930337 (CK) & #2905086 (Manfredo)
x10235	begründen	to justify	sourced	begründen	AUX,VERB	Würdest du das begründen?	Would you explain why?	CC-BY 2.0 (France) Attribution: tatoeba.org #3818546 (CK) & #3851215 (Pfirsichbaeumchen)
x10236	zustimmen	to agree	sourced	zustimmen	AUX,VERB	In diesem Punkt kann ich dir nicht unbedingt zustimmen.	I can’t necessarily agree with you on that point.	CC-BY 2.0 (France) Attribution: tatoeba.org #44846 (CM) & #1912714 (Tamy)
x10237	widersprechen	to contradict	sourced	widersprechen	AUX,VERB	Es fiele mir nicht einmal im Traume ein, dir zu widersprechen.	I wouldn’t dream of contradicting you.	CC-BY 2.0 (France) Attribution: tatoeba.org #2539247 (CK) & #3761971 (Pfirsichbaeumchen)
x10238	vergleichen	to compare	sourced	vergleichen	AUX,VERB	Probieren Sie beide Mäntel an und vergleichen Sie sie.	Try on both these coats and compare them.	CC-BY 2.0 (France) Attribution: tatoeba.org #58419 (CM) & #2809611 (Tamy)
x10239	zusammenfassen	to summarize	sourced	zusammenfassen	AUX,VERB	Lassen Sie mich kurz zusammenfassen, was passiert ist!	Let me briefly summarize what happened.	CC-BY 2.0 (France) Attribution: tatoeba.org #8307787 (CK) & #13484833 (Waldelfe)
x10240	diskutieren	to discuss	sourced	diskutieren	AUX,VERB	Wir haben noch genug Zeit, um es zu diskutieren.	We still have enough time to discuss it.	CC-BY 2.0 (France) Attribution: tatoeba.org #41851 (CK) & #2055769 (Tamy)
x10241	behaupten	to claim	sourced	behaupten	AUX,VERB	Wir können nicht behaupten, dass das nicht passiert wäre.	We can’t claim this didn’t happen.	CC-BY 2.0 (France) Attribution: tatoeba.org #10061828 (CK) & #13730211 (Waldelfe)
x10242	erwähnen	to mention	sourced	erwähnen	AUX,VERB	Ich wäre dir dankbar, wenn du das niemandem gegenüber erwähnen würdest.	I would appreciate if you didn’t mention this to anyone.	CC-BY 2.0 (France) Attribution: tatoeba.org #2987940 (Hybrid) & #8986670 (Pfirsichbaeumchen)
x10243	betonen	to emphasize	sourced	betonen	AUX,VERB	Ich kann es nicht genug betonen.	I can’t emphasize it enough.	CC-BY 2.0 (France) Attribution: tatoeba.org #5640405 (CK) & #5708190 (Pfirsichbaeumchen)
x10244	vorschlagen	to suggest	sourced	vorschlagen	AUX,VERB	Ich würde vorschlagen, dass du nach Hause gehst.	I’d suggest you go home.	CC-BY 2.0 (France) Attribution: tatoeba.org #12314331 (CK) & #12458982 (Waldelfe)
x10245	ablehnen	to reject	sourced	ablehnen	AUX,VERB	So einen ungerechten Vorschlag hättest du ablehnen sollen.	You should’ve rejected such an unfair proposal.	CC-BY 2.0 (France) Attribution: tatoeba.org #1396371 (CK) & #916 (MUIRIEL)
x10246	akzeptieren	to accept	sourced	akzeptieren	AUX,VERB	Ich bin heute sehr beschäftigt, sonst würde ich akzeptieren.	I’m really busy today, otherwise I would accept.	CC-BY 2.0 (France) Attribution: tatoeba.org #2320123 (Gulliver) & #1825737 (Esperantostern)
x10247	vermeiden	to avoid	sourced	vermeiden	AUX,VERB	Ich hoffe, wir können diese Fehler in Zukunft vermeiden.	I hope we can avoid these mistakes in the future.	CC-BY 2.0 (France) Attribution: tatoeba.org #8440218 (CK) & #12678605 (mayabe)
x10248	ermöglichen	to enable	sourced	ermöglichen	AUX,VERB	Flugzeuge ermöglichen den Menschen, große Entfernungen schnell zurückzulegen.	Airplanes enable people to travel great distances rapidly.	CC-BY 2.0 (France) Attribution: tatoeba.org #318016 (CM) & #1117867 (Manfredo)
x10249	verhindern	to prevent	sourced	verhindern	AUX,VERB	Wir hätten nichts tun können, um das zu verhindern.	Nothing we could’ve done would’ve prevented this from happening.	CC-BY 2.0 (France) Attribution: tatoeba.org #5903659 (CK) & #13234720 (Waldelfe)
x10250	entwickeln	to develop	sourced	entwickeln	AUX,VERB	Die Welt muss neue Energiequellen entwickeln anstelle von Erdöl.	The world needs to develop new energy sources in place of oil.	CC-BY 2.0 (France) Attribution: tatoeba.org #271158 (CK) & #834154 (Esperantostern)
x10251	verändern	to change	sourced	verändern	AUX,VERB	Ich denke nicht, dass ich irgendetwas verändern würde.	I don’t think I’d change anything.	CC-BY 2.0 (France) Attribution: tatoeba.org #6849347 (CK) & #12987195 (Vortarulo)
x10252	verbessern	to improve	sourced	verbessern	AUX,VERB	Ich will mich nur so stark wie möglich verbessern.	I just want to improve as much as I can.	CC-BY 2.0 (France) Attribution: tatoeba.org #1474768 (Spamster) & #1821676 (Zaghawa)
x10253	reduzieren	to reduce	sourced	reduzieren	AUX,VERB	Es ist daher notwendig, die Kosten zu reduzieren.	Therefore, it is necessary to reduce the cost.	CC-BY 2.0 (France) Attribution: tatoeba.org #53475 (CM) & #1219010 (Sudajaengi)
x10254	erhöhen	to increase	sourced	erhöhen	AUX,VERB	Warum erhöhen sich die Erträge bei herbizidresistenten Sorten?	Why do yields increase with herbicide-resistant varieties?	CC-BY 2.0 (France) Attribution: tatoeba.org #329308 (fcbond) & #781995 (Hans_Adler)
x10255	senken	to lower	sourced	senken	AUX,VERB	Ich denke, wir sollten den Preis senken.	I think we should lower the price.	CC-BY 2.0 (France) Attribution: tatoeba.org #1887774 (CK) & #2661162 (Pfirsichbaeumchen)
